sl.no.,isbn,isbn10
286,9780385423588,0385423586
287,9780226043920,0226043924
288,9781400031603,1400031605
289,9781590172629,1590172620
290,9781937658069,1937658066
291,9780674810839,067481083X
292,9780143037392,0143037390
293,9780330462631,0330462636
294,9780671449049,0671449044
295,9780679447078,0679447075
296,9781932234053,1932234055
297,9780394523781,0394523784
298,9780751510195,075151019X
299,9780590424103,0590424106
300,9780060855925,0060855924
301,9781416524342,1416524347
302,9782253147695,2253147699
303,9780590032490,0590032496
304,9780689853234,0689853238
305,9780345350497,0345350499
306,9780156031196,0156031191
307,9780618083602,061808360X
308,9780152047382,0152047387
309,9780553299496,0553299492
310,9780449205877,0449205878
311,9780451822192,0451822196
312,9780345338587,0345338588
313,,
314,9781585861972,1585861979
315,9780749301385,0749301384
316,9780345419576,034541957X
317,9781416928140,1416928146
318,,
319,,
320,9780553274189,055327418X
321,9780345375216,0345375211
322,9780802118066,0802118062
323,9780451410894,0451410890
324,9780441004010,0441004016
325,9780743263061,0743263065
326,9780425181102,0425181103
327,9780804114882,0804114889
328,,
329,9780822208211,0822208210
330,,
331,9780671042783,0671042785
332,9780345302748,0345302745
333,9780345335456,0345335457
334,9780349109701,0349109702
335,9780152632243,0152632247
336,9780517287774,0517287773
337,9780446405157,0446405159
338,9781400030606,1400030609
339,9780689830907,0689830904
340,9780679749028,0679749020
341,9780805042023,0805042024
342,9780292724457,0292724454
343,9780393302004,0393302008
344,9780307745316,0307745317
345,9780879978570,0879978570
346,9780671496661,0671496662
347,9783608932645,360893264X
348,9780374519049,0374519048
349,9780345464590,0345464591
350,9780345320117,0345320115
351,9780449212851,0449212858
352,9780553250336,0553250337
353,9780441445240,0441445241
354,9780151731565,015173156X
355,9780425204023,0425204022
356,9780060085896,0060085894
357,9780449208403,0449208400
358,9780449210376,0449210375
359,9780767916226,0767916220
360,9785010004941,5010004941
361,9780684848594,0684848597
362,9780316107105,0316107107
363,9780822211921,0822211920
364,9780380690961,0380690969
365,9781590170274,159017027X
366,9780688160876,0688160875
367,9781400077540,1400077540
368,9780373806768,0373806760
369,9780140243284,0140243283
370,9780671448127,0671448129
371,9780792713708,0792713702
372,9780897330718,0897330714
373,9780393305999,0393305996
374,9780819562715,0819562718
375,9783453139831,3453139836
376,9781567920086,156792008X
377,9780307700285,0307700283
378,,
379,9780823404704,0823404706
380,9780380674541,0380674548
381,9780870540974,0870540971
382,9780060751555,006075155X
383,9780515091601,051509160X
384,9780801843860,0801843863
385,9780743445108,0743445104
386,9780345312525,034531252X
387,9780373810369,0373810369
388,9780399210310,0399210318
389,9780609810170,0609810170
390,9780399153761,0399153764
391,9780385296601,0385296606
392,9780006171126,0006171125
393,9780553276831,0553276832
394,9780441568536,044156853X
395,9780553239713,0553239716
396,9780670060269,0670060267
397,9780879977900,0879977906
398,9780449209592,0449209598
399,9780679734031,0679734031
400,9780330491235,0330491237
401,9780571224388,0571224385
402,9780425172902,0425172902
403,9780425105337,0425105334
404,,
405,9780689878565,0689878567
406,9780743265232,0743265238
407,9780679734772,0679734775
408,9780451190758,0451190750
409,,
410,9780684853154,0684853159
411,9780836220629,0836220625
412,9780679731368,0679731369
413,9780060786465,0060786469
414,9780425203934,042520393X
415,,
416,9780449912102,0449912108
417,9780786915743,0786915749
418,9780345335708,0345335708
419,9780345441706,0345441702
420,9780679759324,0679759328
421,9780446405317,0446405310
422,,
423,9780446405164,0446405167
424,9781569714980,1569714983
425,9780451451385,0451451384
426,9780099461883,0099461889
427,9780060533984,0060533986
428,9780553569971,055356997X
429,9780451200822,0451200829
430,9780593098264,0593098269
431,9780061003455,006100345X
432,9780375708763,0375708766
433,9780553383836,0553383833
434,9785550472644,5550472643
435,9780345321381,0345321383
436,9780330293877,0330293877
437,9780671503734,0671503731
438,9780679418603,0679418601
439,9780312890049,0312890044
440,9780345300782,0345300785
441,9780688025939,0688025935
442,9780609810200,0609810200
443,9780316367950,0316367958
444,9780449207666,0449207668
445,9780440213321,0440213320
446,,
447,9780743271271,0743271270
448,9780451411617,0451411617
449,9780451411396,0451411390
450,9780345313157,0345313151
451,9780743487184,0743487184
452,9781590170274,159017027X
453,9780452261136,0452261139
454,9780449206249,0449206246
455,9780812585155,0812585151
456,9780141311401,0141311401
457,9780312187477,0312187475
458,,
459,9780394755267,039475526X
460,9780916291563,0916291561
461,9780553248647,0553248642
462,9780152026325,0152026320
463,9780575075795,0575075791
464,9780140075625,0140075623
465,9780765307293,0765307294
466,9780590434447,0590434446
467,9780871234421,0871234424
468,9780440987208,0440987202
469,9780440118701,0440118700
470,9780060932688,0060932686
471,9780345320612,0345320611
472,9780425165584,0425165582
473,9780886773328,0886773326
474,9780553342536,0553342533
475,,
476,9780441944606,0441944604
477,9780099642619,0099642611
478,9780140077032,0140077030
479,9780671493172,0671493175
480,9781860465024,1860465021
481,9780312243692,0312243693
482,,
483,9780671495008,0671495003
484,9780752858524,0752858521
485,9781555971939,1555971938
486,9780140299960,0140299963
487,9780441286027,044128602X
488,9780156932509,0156932504
489,9780674615762,067461576X
490,9780060914943,0060914947
491,9781590170069,1590170067
492,9781591164227,1591164222
493,9781591164852,1591164850
494,9780859536592,0859536599
495,9780140073959,0140073957
496,9780590464635,0590464639
497,9780345311993,034531199X
498,,
499,9780812976311,0812976312
500,,
501,9780812550702,0812550706
502,9780140120837,0140120831
503,9780671683900,067168390X
504,9781400034680,140003468X
505,9780786226740,0786226749
506,9780060245863,0060245867
507,9780345476883,0345476883
508,,
509,,
510,9780395389492,0395389496
511,9780345452009,0345452003
512,9780140283303,0140283307
513,9780394541556,0394541553
514,,
515,9782266079990,2266079999
516,9780751504385,0751504386
517,9780312368579,0312368577
518,9781857231328,1857231325
519,9780618062416,0618062416
520,9780441013050,0441013058
521,9780586090046,0586090045
522,9780446601931,0446601934
523,9780452277755,0452277752
524,9780345328946,0345328949
525,9780385333870,0385333870
526,9780446405164,0446405167
527,9780571164660,0571164668
528,9780425091036,0425091031
529,9780060594770,0060594772
530,9780440409410,0440409411
531,9780553260458,0553260456
532,9780140097313,0140097317
533,9781596871069,1596871067
534,9780553278743,0553278746
535,,
536,9780670805143,0670805149
537,9780586064177,0586064176
538,,
539,9780312939007,0312939000
540,9780395401460,0395401461
541,9780413147103,041314710X
542,9780446405324,0446405329
543,9780425199930,0425199932
544,9780345382849,0345382846
545,,
546,9780099471424,0099471426
547,9780060741044,006074104X
548,9780316195553,0316195553
549,9780449911839,0449911837
550,9780345352668,0345352661
551,9780441094998,0441094996
552,9780684804521,0684804522
553,9780380899531,0380899531
554,9780380750863,0380750864
555,9780553252606,0553252607
556,9780451146427,0451146425
557,9780440122098,0440122090
558,9780152055783,0152055789
559,9780140117936,0140117938
560,,
561,9780553381641,0553381644
562,9780449210956,0449210952
563,9780886900090,0886900093
564,9780451214973,0451214978
565,9781592220052,1592220053
566,9780002712453,0002712458
567,9780812508444,0812508440
568,,
569,9780684835037,0684835037
570,9781416530718,1416530711
571,9780786916092,0786916095
572,9780786930708,0786930705
573,9780517559505,0517559501
574,9780674399747,0674399749
575,9780671019099,0671019090
576,9780449224854,0449224856
577,9780451411730,0451411730
578,9780451411877,0451411870
579,9780449209837,0449209830
580,9780380896387,0380896389
581,9780440162643,0440162645
582,9780553383157,0553383159
583,9780446365321,0446365327
584,9780786881277,0786881275
585,9780345379054,0345379055
586,9780590444255,0590444255
587,9780312854072,0312854072
588,9780880386524,0880386525
589,9780312643065,0312643063
590,9780553261677,0553261673
591,9780749390501,0749390506
592,9780312942373,0312942370
593,9780871238399,087123839X
594,9780340490082,034049008X
595,9780142409404,0142409405
596,9780553347234,0553347233
597,9780698116917,0698116917
598,9780704326101,0704326108
599,9780871238221,0871238225
600,9780451169518,0451169514
601,9780064410342,006441034X
602,9780061020704,0061020702
603,9780812550757,0812550757
604,9781862301382,1862301387
605,9780553381542,0553381547
606,9780920668375,0920668372
607,9780553587579,0553587579
608,9780679801122,067980112X
609,9780446350983,0446350982
610,9781563893414,156389341X
611,9780743468428,0743468422
612,9780743468404,0743468406
613,9780571225361,0571225365
614,9780689840920,0689840926
615,9780446405331,0446405337
616,9780446405348,0446405345
617,9780141026169,0141026162
618,9780394753669,0394753666
619,9780590224734,0590224735
620,9780394298665,0394298667
621,9781400096473,1400096472
622,9780752863887,0752863886
623,9780061000171,0061000175
624,9780451451804,0451451805
625,9780822207122,0822207125
626,9781857232561,1857232569
627,9780671656041,067165604X
628,9780743457927,0743457927
629,9780425202883,0425202887
630,9780141014081,0141014083
631,,
632,9780140094350,0140094350
633,9780586066881,0586066888
634,9780345419583,0345419588
635,9780786931583,0786931582
636,9780937295014,0937295019
637,9780723258049,072325804X
638,9781590303160,1590303164
639,9780688161125,068816112X
640,9780684813783,0684813785
641,9780394757575,0394757572
642,9781581345285,1581345283
643,9780446695718,0446695718
644,9780394743257,0394743253
645,9780142406809,0142406805
646,9780452264014,0452264014
647,9780451410023,0451410025
648,9780515090161,0515090166
649,9780312364526,0312364520
650,9780452270640,0452270642
651,9780877957690,087795769X
652,9780316858540,0316858544
653,9780312942953,0312942958
654,9780312368579,0312368577
655,9780810918689,0810918684
656,,
657,9780380704422,0380704420
658,9781889307015,1889307017
659,9781569313206,1569313202
660,9780886773762,0886773768
661,9780060539825,0060539828
662,9781561310227,1561310220
663,9780786932177,0786932171
664,9780553156553,0553156551
665,9780394573540,0394573544
666,9781860467219,1860467210
667,9780786933884,0786933887
668,9781400047857,1400047854
669,,
670,9780395867860,039586786X
671,9780156400572,015640057X
672,9780752836997,0752836994
673,9780156913218,0156913216
674,9780552128346,0552128341
675,,
676,9780704370852,0704370859
677,9780671704643,0671704648
678,9780312863937,0312863934
679,9780060094928,0060094923
680,9780771098826,0771098820
681,9780394746210,039474621X
682,9780345384201,0345384202
683,9780349100470,0349100470
684,9780192141637,0192141635
685,9780451458261,0451458265
686,9780671578442,0671578448
687,9780380704071,0380704072
688,9780345322401,0345322401
689,9780515090499,0515090492
690,9780156758307,015675830X
691,9780765308382,076530838X
692,9780671724511,0671724517
693,9780156927949,0156927942
694,9780060155605,0060155604
695,9780140178241,0140178244
696,9780813512587,0813512581
697,9780396093206,0396093205
698,9780590403603,0590403605
699,9780312926052,0312926057
700,9781400033416,1400033411
701,9780450417399,0450417395
702,9780451210852,0451210859
703,,
704,9780930289232,0930289234
705,9780836220889,0836220889
706,9780060855901,0060855908
707,9780375508417,0375508414
708,,
709,9780451196712,0451196716
710,9780141014081,0141014083
711,9780425134351,0425134350
712,9782264047731,2264047739
713,9780689840920,0689840926
714,9781857231380,1857231384
715,,
716,,
717,9780517223543,0517223546
718,9780143039839,0143039830
719,9780517222850,051722285X
720,9780802135339,0802135331
721,9781862301382,1862301387
722,9780446698870,0446698873
723,9780312241353,0312241356
724,9780152050160,0152050167
725,9780812533057,0812533054
726,,
727,9780765349156,0765349159
728,9780749391683,0749391685
729,9780684857503,0684857502
730,9780553280586,0553280589
731,9780743466516,0743466519
732,9780449212400,0449212408
733,9780747250371,0747250375
734,9780553270228,0553270222
735,9780380714001,0380714000
736,9780679772668,0679772669
737,9780553279719,0553279718
738,,
739,9780515090505,0515090506
740,9781930235328,1930235321
741,9780671662349,0671662341
742,9780586203194,0586203192
743,9780590590891,0590590898
744,9780886773786,0886773784
745,9780446350983,0446350982
746,9780425203545,0425203549
747,9780689810022,0689810024
748,9781843431930,1843431939
749,9780446603775,0446603775
750,9780553278590,0553278592
751,9780312956738,0312956738
752,9780312420284,0312420285
753,,
754,9780440200048,0440200040
755,9780451200839,0451200837
756,9780425106877,042510687X
757,9780140113051,0140113053
758,9780345466624,0345466624
759,9780553270259,0553270257
760,9781401207526,1401207529
761,9780007117147,0007117140
762,9781857231083,1857231082
763,9780312873127,0312873123
764,9780553343816,0553343815
765,,
766,9780886773779,0886773776
767,9780099498667,0099498669
768,9780316058216,0316058211
769,9780140104707,0140104704
770,,
771,9780375759314,037575931X
772,9780751511147,0751511145
773,9781599610825,1599610825
774,9780671657154,0671657151
775,9780006482703,0006482708
776,9780753820339,0753820331
777,9780140158618,0140158618
778,9780465047925,0465047920
779,9780875791210,0875791212
780,9781879960565,1879960567
781,9780930452933,0930452933
782,9780864730190,0864730195
783,9780425110423,0425110427
784,9780618340781,0618340785
785,9780801841156,0801841151
786,,
787,9780375703058,0375703055
788,9780679764090,0679764097
789,,
790,9780140096613,0140096612
791,9780679889113,0679889116
792,9780812533576,0812533577
793,9780374520991,0374520992
794,9781416530732,1416530738
795,9780312863944,0312863942
796,9780679781486,067978148X
797,9780802135223,0802135226
798,9780312007102,0312007108
799,9780684831053,0684831058
800,9780141301068,0141301066
801,,
802,9780553380163,0553380168
803,9780836218053,0836218051
804,9780061122415,0061122416
805,9780061020667,0061020664
806,9780345419620,0345419626
807,9780671742515,0671742515
808,9780312270827,0312270828
809,9780156032971,015603297X
810,9780345366238,0345366239
811,9780345466396,034546639X
812,9780439137492,0439137497
813,9780385491020,0385491026
814,9780763600136,076360013X
815,9780689878572,0689878575
816,9780756402693,0756402697
817,9780812474947,0812474945
818,(ISBN10: 0441,"<ERROR> _IDX: 819 error(3): RuntimeError(""[string \""src\\cmd\\luau.rs:738:14\""]:4: attempt to perform arithmetic (mul) on nil and number\nstack traceback:\n\t[C]: in ?\n\t[string \""src\\cmd\\luau.rs:738:14\""]:4: in function 'calculate_check_digit'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:18: in function 'isbn13_to_isbn10'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:24: in ?"")"
819,9780007103676,0007103670
820,,
821,9780702229787,0702229784
822,9780385418867,0385418868
823,9780425116845,0425116840
824,9781886778535,1886778531
825,9780671319649,0671319647
826,(ISBN10: 0590,"<ERROR> _IDX: 827 error(4): RuntimeError(""[string \""src\\cmd\\luau.rs:738:14\""]:4: attempt to perform arithmetic (mul) on nil and number\nstack traceback:\n\t[C]: in ?\n\t[string \""src\\cmd\\luau.rs:738:14\""]:4: in function 'calculate_check_digit'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:18: in function 'isbn13_to_isbn10'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:24: in ?"")"
827,9780751507959,0751507954
828,9780375761423,037576142X
829,9780345485595,0345485599
830,9780439551892,0439551897
831,9780553278026,0553278029
832,9780679721826,0679721827
833,9780061000041,0061000043
834,9780061053566,0061053562
835,9780765342300,0765342308
836,9780446671279,0446671274
837,9780967134505,0967134501
838,9781857231038,1857231031
839,9780671880187,0671880187
840,9780552148030,0552148032
841,9780345363312,0345363310
842,9780515099546,0515099546
843,9780751511154,0751511153
844,9780425204399,0425204391
845,9780446400886,0446400882
846,,
847,9780425115800,0425115801
848,9780763634995,0763634999
849,9780553272833,0553272837
850,9780060972455,0060972459
851,9780140294293,0140294295
852,9780006174431,0006174434
853,9780099366614,0099366614
854,9780440203438,0440203430
855,9780937295915,0937295914
856,9780385313315,0385313314
857,9780671737832,067173783X
858,9780553281743,0553281747
859,9781566562935,1566562937
860,9780886774141,0886774144
861,9780142401095,0142401099
862,9780893662134,0893662135
863,9780688163655,0688163653
864,9780446603782,0446603783
865,9780310226055,0310226058
866,9780811214575,0811214575
867,9780807612989,0807612987
868,9780312939038,0312939035
869,9780395562338,0395562333
870,9780006482703,0006482708
871,9780195168952,019516895X
872,9780451410382,0451410386
873,9781101158326,1101158328
874,9780440204206,0440204208
875,9780306814259,0306814250
876,9780380708826,0380708825
877,9780671704650,0671704656
878,9780670823079,0670823074
879,9780765311863,0765311860
880,9780060730550,0060730552
881,9780446363815,0446363812
882,9780385732390,0385732392
883,9781580051347,1580051340
884,9780553286281,0553286285
885,9789875661608,9875661600
886,9780374527075,0374527075
887,9780140156041,0140156046
888,9780441374236,0441374239
889,9780940450370,0940450372
890,9780385413725,0385413726
891,9780345361325,0345361326
892,9780441009916,0441009913
893,9780553278002,0553278002
894,9780441013258,0441013252
895,9780786942466,0786942460
896,9780192825674,0192825674
897,9781407034546,1407034545
898,9780380752942,0380752948
899,,
900,,
901,,
902,9780440227533,0440227534
903,,
904,9780140544510,0140544518
905,9780552135399,0552135399
906,,
907,,
908,9780689835681,068983568X
909,9780380731503,0380731509
910,9780061020643,0061020648
911,9780553283686,0553283685
912,9780743464666,0743464664
913,9780399219207,039921920X
914,9780836218527,0836218523
915,9780751509342,0751509345
916,9780061020650,0061020656
917,9780060920081,0060920084
918,9780743269513,0743269519
919,9780446400589,0446400580
920,9780061099182,006109918X
921,9780425205815,0425205819
922,9780671720933,0671720937
923,9780552154161,0552154164
924,9780689853494,0689853491
925,,
926,9780375713347,0375713344
927,9780425208465,042520846X
928,9780345367655,0345367650
929,9780195069051,0195069056
930,9781416555445,1416555447
931,,
932,9780345369352,0345369351
933,9780425122129,0425122123
934,,
935,9780802135780,0802135781
936,9780312155858,0312155859
937,9780446400008,0446400009
938,9780099471370,009947137X
939,9780140113419,014011341X
940,9780345419392,0345419391
941,9780452280021,0452280028
942,9780393027051,0393027058
943,9780743457262,0743457269
944,9780812974928,0812974921
945,9780451412072,0451412079
946,9780761129585,0761129588
947,9781400043330,1400043336
948,9780446679190,0446679194
949,9780345460684,0345460685
950,9780679731146,0679731148
951,9781857230758,1857230752
952,9780385267052,0385267053
953,9780345371133,0345371135
954,,
955,9780450524684,045052468X
956,9780679724360,0679724362
957,9780743474153,0743474155
958,9788868737993,886873799X
959,9780446603638,0446603635
960,9780679731375,0679731377
961,9780393027501,0393027503
962,9781551665740,1551665743
963,9780899197692,0899197698
964,9780143012641,0143012649
965,9781860467226,1860467229
966,9780373484416,0373484410
967,9780060936235,0060936231
968,9780861661411,0861661419
969,9780752817019,0752817019
970,9780679726104,0679726101
971,,
972,9780892963881,0892963883
973,9780441790975,0441790976
974,9780449218211,044921821X
975,9780440238560,0440238560
976,9780553282986,0553282980
977,9780553285819,0553285815
978,9780312993559,0312993552
979,9780140115857,0140115854
980,9780679743422,0679743421
981,9780345367693,0345367693
982,9780099414735,0099414732
983,9780804105910,080410591X
984,9782290032046,2290032042
985,9780812533828,0812533828
986,9788477370185,8477370184
987,9780380753000,0380753006
988,9780582417854,0582417856
989,9780445408647,0445408642
990,,
991,9780586210413,0586210415
992,9780152002657,0152002650
993,9780395514276,0395514274
994,9780375704536,0375704531
995,9783857911538,3857911530
996,9781933397269,1933397268
997,9780099742005,0099742004
998,9780912333397,0912333391
999,9780752853697,0752853694
1000,9780307348135,030734813X
1001,,
1002,9780679805274,0679805273
1003,9780812511819,0812511816
1004,9780679735908,0679735909
1005,9780552152945,0552152943
1006,9780312851408,0312851405
1007,,
1008,9780767902892,0767902890
1009,9780152045661,015204566X
1010,9781563892257,1563892251
1011,9780743477154,0743477154
1012,9780064473453,0064473457
1013,9780590452038,0590452037
1014,9780756402976,0756402972
1015,9780752858494,0752858491
1016,9780380715435,0380715430
1017,9780380710812,0380710811
1018,9780689878572,0689878575
1019,9780099498599,0099498596
1020,9780671720148,0671720147
1021,9780449911945,0449911942
1022,9780451457769,0451457765
1023,9780553290998,0553290991
1024,9780553287349,0553287346
1025,9781416509639,1416509631
1026,9781892391209,1892391201
1027,9781857231359,185723135X
1028,9780804108584,0804108587
1029,,
1030,9780140131680,014013168X
1031,9780449001158,0449001156
1032,9780394587868,0394587863
1033,,
1034,9781400078653,1400078652
1035,,
1036,9780061099328,0061099325
1037,9780425208847,0425208842
1038,9780553586978,0553586971
1039,9780374266516,0374266514
1040,9780399218859,0399218858
1041,9780553294613,055329461X
1042,9781857230758,1857230752
1043,9780553288209,0553288202
1044,9780571203031,0571203035
1045,9780441006106,0441006108
1046,9780553584707,0553584707
1047,9780571144792,0571144799
1048,9780670886586,0670886580
1049,9780679733768,0679733760
1050,,
1051,9780156029582,0156029588
1052,9780515102659,0515102652
1053,9780060082161,006008216X
1054,9780380780495,0380780496
1055,9780553295092,0553295098
1056,9780553283549,0553283545
1057,9780425193822,0425193829
1058,9780385302968,0385302967
1059,9780446677127,0446677124
1060,9780374466237,0374466238
1061,9780571144563,057114456X
1062,9780553286397,0553286390
1063,9780590414296,0590414291
1064,9781563890352,1563890356
1065,9780380714759,0380714752
